,Rank,"Player (yrs, age)",Doubles,Bats
523,523.,Aurelio Rodriguez (17),287,R
524,523.,Joe Rudi (16),287,R
525,523.,Juan Samuel (16),287,R
526,527.,Dave Henderson (14),286,R
527,527.,George Van Haltren (17),286,L
528,529.,Leo Cardenas (16),285,R
529,529.,Bobby Murcer (17),285,L
530,529.,Kevin Seitzer (12),285,R
531,529.,Ken Williams (14),285,L
532,529.,Jim Wynn (15),285,R
533,534.,Willie Horton (18),284,R
534,534.,Kevin McReynolds (12),284,R
535,534.,David Segui (15),284,B
536,534.,Harry Steinfeldt (14),284,R
537,534.,Greg Vaughn (15),284,R
538,534.,Todd Walker (12),284,L
539,540.,Rocky Colavito (14),283,R
540,540.,Melvin Mora (13),283,R
541,540.,"Kurt Suzuki (14, 36)",283,R
542,543.,Edgardo Alfonzo (12),282,R
543,543.,Paul Blair (17),282,R
544,543.,Dan Driessen (15),282,L
545,543.,Von Hayes (12),282,L
546,543.,Pete Runnels (14),282,L
547,548.,Lenny Dykstra (12),281,L
548,548.,Jeff Francoeur (12),281,R
549,548.,John Valentin (11),281,R
550,548.,Lloyd Waner+ (18),281,L
551,548.,Willie Wilson (19),281,B
552,553.,David Justice (14),280,L
553,553.,"Kyle Seager (10, 32)",280,L
554,555.,Carlos Baerga (14),279,B
555,555.,Jeff Heath (14),279,L
556,555.,Willie Montanez (14),279,L
557,555.,Dode Paskert (15),279,R
558,559.,Rico Carty (15),278,R
559,559.,Steve Sax (14),278,R
560,559.,Bill White (13),278,L
561,562.,Brett Butler (17),277,L
562,562.,"Ian Desmond (11, 34)",277,R
563,562.,Joe Dugan (14),277,R
564,562.,Ryan Howard (13),277,L
565,562.,Ernie Lombardi+ (17),277,R
566,562.,Ben Oglivie (16),277,L
567,568.,Ossie Bluege (18),276,R
568,568.,Al Cowens (13),276,R
569,568.,Dave Philley (18),276,B
570,571.,Bill Bradley (14),275,R
571,571.,Mike Greenwell (12),275,L
572,571.,Ozzie Guillen (16),275,L
573,571.,Roy Johnson (10),275,L
574,571.,Heinie Zimmerman (13),275,R
575,576.,Alex Gonzalez (13),274,R
576,577.,J.D. Drew (14),273,L
577,577.,Richie Hebner (18),273,L
578,577.,Lloyd Moseby (12),273,L
579,577.,Jackie Robinson+ (10),273,R
580,577.,Lonnie Smith (17),273,R
581,577.,Terry Steinbach (14),273,R
582,583.,Tommy Davis (18),272,R
583,583.,Granny Hamner (17),272,R
584,583.,Chase Headley (12),272,B
585,583.,"Eric Hosmer (10, 30)",272,L
586,583.,Marty Marion (13),272,R
587,583.,Ed McKean (13),272,R
588,583.,Bill Nicholson (16),272,L
589,583.,Luke Sewell (20),272,R
590,591.,Curt Flood (15),271,R
591,591.,Billy Nash (15),271,R
592,591.,Billy Werber (11),271,R
593,594.,Brad Ausmus (18),270,R
594,594.,Bobby Higginson (11),270,L
595,594.,Pepper Martin (13),270,R
596,594.,"Buster Posey (11, 33)",270,R
597,594.,Boog Powell (17),270,L
598,594.,Milt Stock (14),270,R
599,594.,Fred Tenney (17),270,L
600,594.,Mo Vaughn (12),270,L
601,594.,Deacon White+ (20),270,L
602,603.,Tommy Henrich (11),269,L
603,603.,Marco Scutaro (13),269,R
604,605.,Elmer Flick+ (13),268,L
605,605.,"Anthony Rizzo (10, 30)",268,L
606,605.,John Stone (11),268,L
607,608.,David Bell (12),267,R
608,608.,Pedro Guerrero (15),267,R
609,608.,Brian Jordan (15),267,R
610,608.,Matt Lawton (12),267,L
611,608.,James Loney (11),267,L
612,608.,Javy Lopez (15),267,R
