,Rank,"Player (yrs, age)",Slugging %,Bats
525,525.,Steve Finley (19),.4424,L
526,527.,Home Run Baker+ (13),.4423,L
527,527.,Donn Clendenon (12),.4423,R
528,527.,Chet Lemon (16),.4423,R
529,527.,Denny Lyons (13),.4423,R
530,527.,"Mike Moustakas (10, 31)",.4423,L
531,532.,Vada Pinson (18),.4421,L
532,533.,Mark Grace (16),.4420,L
533,533.,Bobby Veach (14),.4420,L
534,535.,Bret Boone (14),.4419,R
535,536.,Bill Madlock (15),.4418,R
536,536.,Fernando Tatis (11),.4418,R
537,538.,Ivan Calderon (10),.4417,R
538,538.,Ben Grieve (9),.4417,L
539,540.,Casey Blake (13),.4416,R
540,541.,Nick Johnson (10),.4414,L
541,542.,John Vander Wal (14),.4413,L
542,543.,Billy Butler (10),.4411,R
543,543.,Johnny Callison (16),.4411,L
544,543.,"Brian Dozier (9, 33)",.4411,R
545,546.,Juan Encarnacion (11),.4410,R
546,546.,Odell Hale (10),.4410,R
547,548.,Michael Young (14),.4409,R
548,549.,Ken Keltner (13),.4408,R
549,550.,Harlond Clift (12),.4407,R
550,550.,Ross Youngs+ (10),.4407,L
551,552.,Lance Parrish (19),.4405,R
552,553.,Ian Kinsler (14),.4403,R
553,554.,Milton Bradley (12),.4402,B
554,554.,Brad Wilkerson (8),.4402,L
555,556.,"Michael Brantley (12, 33)",.4400,L
556,556.,Charlie Hickman (12),.4400,R
557,558.,Bob Elliott (15),.4399,R
558,559.,Ben Chapman (15),.4398,R
559,559.,Shea Hillenbrand (7),.4398,R
560,559.,Henry Larkin (10),.4398,R
561,559.,Sixto Lezcano (12),.4398,R
562,563.,Curt Walker (12),.4397,L
563,564.,Derek Jeter+ (20),.4396,R
564,564.,Wally Joyner (16),.4396,L
565,566.,Jeff Burroughs (16),.4395,R
566,566.,Jose Guillen (14),.4395,R
567,566.,Eddie Robinson (13),.4395,L
568,569.,John Mayberry (15),.4393,L
569,570.,Larry Parrish (15),.4392,R
570,570.,"Dustin Pedroia (14, 36)",.4392,R
571,572.,Hank Bauer (14),.4391,R
572,573.,Todd Hollandsworth (12),.4390,L
573,574.,Eric Byrnes (11),.4388,R
574,575.,Gary Carter+ (19),.4387,R
575,575.,Joe Mauer (15),.4387,L
576,577.,"Jorge Cantu (8, 38)",.4386,R
577,577.,"Rougned Odor (7, 26)",.4386,L
578,579.,Gary Matthews (16),.4385,R
579,580.,Jason Thompson (11),.4384,L
580,581.,Kevin Young (12),.4383,R
581,582.,Dan Pasqua (10),.4382,L
582,583.,King Kelly+ (16),.4381,R
583,583.,John Reilly (10),.4381,R
584,583.,Bill Robinson (16),.4381,R
585,586.,Joe Vosmik (13),.4379,R
586,587.,Les Bell (9),.4378,R
587,587.,Richie Hebner (18),.4378,L
588,589.,Sam Chapman (11),.4377,R
589,590.,Danny Litwhiler (11),.4376,R
590,591.,Roy Johnson (10),.4375,L
591,592.,Dixie Walker (18),.4372,L
592,593.,Mel Hall (13),.4371,L
593,594.,Ted Simmons+ (21),.4370,B
594,595.,Elmer Smith (10),.4369,L
595,596.,Stan Spence (9),.4368,L
596,597.,Hardy Richardson (14),.4366,R
597,598.,Rip Repulski (9),.4362,R
598,599.,Bill Hall (11),.4361,R
599,599.,Keith Hernandez (17),.4361,L
600,601.,Jim Wynn (15),.4360,R
601,602.,Ken Singleton (15),.4359,B
602,603.,Jonny Gomes (13),.4358,R
603,604.,Ray Durham (14),.4357,B
604,604.,Dave Henderson (14),.4357,R
605,604.,Colby Rasmus (10),.4357,L
606,607.,Don Baylor (19),.4356,R
607,607.,Jake Beckley+ (20),.4356,L
608,609.,Jason Varitek (15),.4354,B
609,609.,Ty Wigginton (12),.4354,R
610,611.,Aaron Rowand (11),.4353,R
611,612.,David Dellucci (13),.4351,L
612,612.,Pie Traynor+ (17),.4351,R
613,614.,Todd Walker (12),.4350,L
614,615.,Carl Crawford (15),.4349,L
615,616.,George Scott (14),.4347,R
616,617.,"Eric Hosmer (10, 30)",.4346,L
617,618.,Gary Roenicke (12),.4343,R
618,619.,Alex Rios (12),.4339,R
619,620.,Tom Brunansky (14),.4338,R
620,620.,Mike Smith (14),.4338,L
621,622.,"Wilson Ramos (11, 32)",.4337,R
622,623.,Gary Gaetti (20),.4336,R
