,Rank,"Player (yrs, age)",Walks & Hits per IP,Throws
85,86.,Harry Coveleski (9),1.1587,L
86,87.,"Yu Darvish (8, 33)",1.1597,R
87,88.,Dennis Eckersley+ (24),1.1608,R
88,89.,Orval Overall (7),1.1613,R
89,90.,Denny McLain (10),1.1633,R
90,91.,Jumbo McGinnis (6),1.1636,
91,92.,George Winter (8),1.1649,R
92,93.,Frank Smith (11),1.1658,R
93,94.,Carl Hubbell+ (16),1.1659,L
94,95.,Guy Hecker (9),1.1676,R
95,96.,Jake Weimer (7),1.1679,L
96,97.,Robin Roberts+ (19),1.1696,R
97,98.,Slim Sallee (14),1.1702,L
98,99.,Randy Johnson+ (22),1.1711,L
99,100.,Hiroki Kuroda (7),1.1721,R
100,101.,Roy Patterson (7),1.1722,R
101,102.,Roger Clemens (24),1.1725,R
102,103.,Nap Rucker (10),1.1746,L
103,104.,Dan Quisenberry (12),1.1751,R
104,105.,John Smoltz+ (21),1.1759,R
105,105.,Jack Taylor (10),1.1759,R
106,107.,Roy Halladay+ (16),1.1777,R
107,108.,Dave Foutz (13),1.1781,R
108,109.,Bob Ewing (11),1.1782,R
109,110.,Jim Bunning+ (17),1.1789,R
110,111.,Jim Scott (9),1.1802,R
111,112.,Jim Palmer+ (19),1.1803,R
112,113.,Dan Haren (13),1.1807,R
113,113.,Gaylord Perry+ (22),1.1807,R
114,113.,Sam Weaver (6),1.1807,R
115,116.,"Cole Hamels (15, 36)",1.1827,L
116,117.,Ron Guidry (14),1.1835,L
117,118.,John Candelaria (19),1.1842,L
118,119.,Al Demaree (8),1.1847,R
119,120.,Jesse Tannehill (15),1.1858,L
120,121.,Mario Soto (12),1.1859,R
121,122.,Frank Miller (7),1.1861,R
122,123.,Pete Richert (13),1.1864,L
123,123.,Ralph Terry (12),1.1864,R
124,125.,Fred Toney (12),1.1877,R
125,126.,Joe McGinnity+ (10),1.1879,R
126,127.,Bob Gibson+ (17),1.1881,R
127,128.,Harry Brecheen (12),1.1884,L
128,129.,Claude Hendrix (10),1.1892,R
129,130.,Joe Horlen (12),1.1903,R
130,131.,Pud Galvin+ (15),1.1910,R
131,132.,Carl Weilman (8),1.1913,L
132,133.,Fritz Peterson (11),1.1914,L
133,133.,Jered Weaver (12),1.1914,R
134,135.,Mike Mussina+ (18),1.1915,R
135,136.,Phil Douglas (9),1.1924,R
136,137.,Eddie Fisher (15),1.1932,R
137,137.,Al Spalding+ (8),1.1932,R
138,139.,Tex Hughson (8),1.1936,R
139,140.,Warren Spahn+ (21),1.1946,L
140,141.,Dupee Shaw (6),1.1952,L
141,142.,Jake Peavy (15),1.1956,R
142,143.,"Carlos Carrasco (11, 33)",1.1961,R
143,144.,Cliff Lee (13),1.1963,L
144,145.,Mike Cuellar (15),1.1966,L
145,145.,"Johnny Cueto (13, 34)",1.1966,R
146,147.,John Tudor (12),1.1976,L
147,148.,Bert Blyleven+ (22),1.1980,R
148,149.,Luis Tiant (19),1.1987,R
149,150.,Ken Johnson (13),1.1990,R
150,151.,Jeff Reardon (16),1.1993,R
151,152.,Hippo Vaughn (13),1.2007,L
152,153.,Mike Scott (13),1.2013,R
153,154.,Howie Camnitz (11),1.2027,R
154,155.,Don Newcombe (10),1.2030,R
155,156.,Nick Cullop (6),1.2031,L
156,157.,Bryn Smith (13),1.2041,R
157,158.,Spud Chandler (11),1.2054,R
158,159.,Dizzy Dean+ (12),1.2057,R
159,160.,Henry Boyle (6),1.2059,R
160,161.,"Felix Hernandez (15, 34)",1.2060,R
