,Rank,Player (age that year),Putouts as P,Year,Throws
463,420.,Cal McLish (33),25,1959,R
464,420.,Win Mercer (21),25,1895,R
465,420.,Mike Moore (29),25,1989,R
466,420.,Mike Morgan (30),25,1990,R
467,420.,Mike Morgan (31),25,1991,R
468,420.,Jack Morris+ (30),25,1985,R
469,420.,Carl Morton (30),25,1974,R
470,420.,Brett Myers (29),25,2010,R
471,420.,Don Newcombe (30),25,1956,R
472,420.,Fred Newman (23),25,1965,R
473,420.,Kid Nichols+ (22),25,1892,R
474,420.,Kid Nichols+ (29),25,1899,R
475,420.,Mike Norris (25),25,1980,R
476,420.,Cinders O'Brien (22),25,1889,R
477,420.,Al Orth (29),25,1902,R
478,420.,Gene Packard (26),25,1914,L
479,420.,Milt Pappas (25),25,1964,R
480,420.,Tom Parrott (26),25,1894,R
481,420.,Barney Pelty (26),25,1907,R
482,420.,Bob Purkey (32),25,1962,R
483,420.,Old Hoss Radbourn+ (26),25,1881,R
484,420.,Rick Reuschel (38),25,1987,R
485,420.,Amos Rusie+ (19),25,1890,R
486,420.,Sonny Siebert (33),25,1970,R
487,420.,Bryn Smith (28),25,1984,R
488,420.,Steve Sparks (29),25,1995,R
489,420.,Ed Stein (23),25,1893,R
490,420.,Dave Stewart (33),25,1990,R
491,420.,Bill Sweeney (26),25,1884,R
492,420.,George Van Haltren (22),25,1888,L
493,420.,George Van Haltren (24),25,1890,L
494,420.,Justin Verlander (29),25,2012,R
495,420.,Adam Wainwright (31),25,2013,R
496,420.,John Ward+ (23),25,1883,R
497,420.,Bob Welch (30),25,1987,R
498,420.,Mickey Welch+ (24),25,1884,R
499,420.,Doc White (24),25,1903,L
