,Rank,Player (age that year),Stolen Bases,Year,Bats
310,304.,Cupid Childs (22),56,1890,L
311,304.,Delino DeShields (22),56,1991,L
312,304.,Patsy Donovan (27),56,1892,L
313,304.,Tony Gwynn+ (27),56,1987,L
314,304.,Billy Hamilton (23),56,2014,B
315,304.,Rickey Henderson+ (22),56,1981,R
316,304.,King Kelly+ (30),56,1888,R
317,304.,Willie McGee (26),56,1985,B
318,304.,Wally Moses (32),56,1943,L
319,304.,Gary Pettis (27),56,1985,B
320,304.,Jose Reyes (25),56,2008,B
321,304.,Gene Richards (23),56,1977,L
322,304.,Yank Robinson (28),56,1888,R
323,304.,Deion Sanders (29),56,1997,L
324,304.,Steve Sax (23),56,1983,R
325,304.,Billy Shindle (28),56,1889,R
326,304.,Ichiro Suzuki (27),56,2001,L
327,304.,Mike Tiernan (23),56,1890,L
328,304.,Quilvio Veras (24),56,1995,B
329,330.,Roberto Alomar+ (25),55,1993,B
330,330.,Bert Campaneris (25),55,1967,R
331,330.,Cesar Cedeno (21),55,1972,R
332,330.,Roger Cedeno (26),55,2001,B
333,330.,Ty Cobb+ (30),55,1917,L
334,330.,Eddie Collins+ (26),55,1913,L
335,330.,Carl Crawford (21),55,2003,L
336,330.,Delino DeShields (28),55,1997,L
337,330.,Tom Goodwin (31),55,2000,L
338,330.,Emmet Heidrick (22),55,1899,L
339,330.,Benny Kauff (25),55,1915,L
340,330.,Jimmy Knowles (33),55,1890,R
341,330.,Sherry Magee (21),55,1906,R
342,330.,Bid McPhee+ (30),55,1890,R
343,330.,Jim McTamany (24),55,1888,R
344,330.,Darby O'Brien (24),55,1888,R
345,330.,Luis Polonia (29),55,1993,L
346,330.,Paul Radford (29),55,1891,R
347,330.,Snuffy Stirnweiss (25),55,1944,R
348,330.,George Tebeau (28),55,1890,R
349,330.,George Van Haltren (26),55,1892,L
350,351.,Bob Bescher (25),54,1909,B
351,351.,Eddie Burke (26),54,1893,L
352,351.,Bert Campaneris (34),54,1976,R
353,351.,Art Devlin (26),54,1906,R
354,351.,Damaso Garcia (25),54,1982,R
355,351.,Jack Glasscock (32),54,1890,R
356,351.,Billy Hamilton+ (32),54,1898,L
357,351.,Ned Hanlon+ (33),54,1891,L
358,351.,Tommy Harper (32),54,1973,R
359,351.,Joe Kelley+ (23),54,1895,R
360,351.,Pat Listach (24),54,1992,B
361,351.,Kenny Lofton (28),54,1995,L
362,351.,Kenny Lofton (31),54,1998,L
363,351.,Bid McPhee+ (28),54,1888,R
364,351.,Otis Nixon (37),54,1996,B
365,351.,Bill North (26),54,1974,B
366,351.,Ryne Sandberg+ (25),54,1985,R
367,351.,Cub Stricker (32),54,1891,R
368,351.,Mookie Wilson (27),54,1983,B
369,351.,Eric Young Sr. (33),54,2000,R
370,371.,Roberto Alomar+ (23),53,1991,B
371,371.,Brady Anderson (28),53,1992,L
372,371.,Luis Aparicio+ (27),53,1961,R
373,371.,Lou Brock+ (30),53,1969,L
374,371.,Eddie Burke (29),53,1896,L
375,371.,Donie Bush (21),53,1909,B
376,371.,Ty Cobb+ (20),53,1907,L
377,371.,Eddie Collins+ (30),53,1917,L
378,371.,Buck Ewing+ (28),53,1888,R
379,371.,Marquis Grissom (26),53,1993,R
380,371.,Ned Hanlon+ (31),53,1889,L
381,371.,Billy Hatcher (26),53,1987,R
382,371.,Rickey Henderson+ (34),53,1993,R
383,371.,Hughie Jennings+ (26),53,1895,R
384,371.,King Kelly+ (28),53,1886,R
385,371.,Tommy McCarthy+ (28),53,1892,R
386,371.,Omar Moreno (24),53,1977,L
387,371.,Bill North (25),53,1973,B
388,371.,Freddie Patek (32),53,1977,R
389,371.,Juan Samuel (24),53,1985,R
390,371.,Jake Stenzel (28),53,1895,R
391,371.,Ed Swartwood (31),53,1890,L
392,371.,Mike Tiernan (24),53,1891,L
393,371.,Honus Wagner+ (30),53,1904,R
394,371.,Honus Wagner+ (32),53,1906,R
395,371.,Honus Wagner+ (34),53,1908,R
396,371.,Maury Wills (31),53,1964,B
397,371.,Eric Young Sr. (29),53,1996,R
398,399.,Don Baylor (27),52,1976,R
399,399.,Barry Bonds (25),52,1990,L
400,399.,Michael Bourn (27),52,2010,L
401,399.,Lou Brock+ (28),52,1967,L
402,399.,Brett Butler (27),52,1984,L
403,399.,Bert Campaneris (24),52,1966,R
404,399.,Bert Campaneris (30),52,1972,R
405,399.,Max Carey+ (30),52,1920,B
406,399.,Ray Chapman (26),52,1917,R
407,399.,Hugh Duffy+ (22),52,1889,R
408,399.,Jacoby Ellsbury (29),52,2013,L
409,399.,Chone Figgins (28),52,2006,B
410,399.,Frank Isbell (25),52,1901,L
411,399.,Dick Johnston (24),52,1887,R
412,399.,Arlie Latham (30),52,1890,R
413,399.,Ed McKean (24),52,1888,R
414,399.,Sam Mertes (32),52,1905,R
415,399.,Jerry Mumphrey (27),52,1980,B
416,399.,Amos Otis (24),52,1971,R
417,399.,Gary Redus (30),52,1987,R
418,399.,Alex Sanchez (26),52,2003,L
419,399.,Billy Shindle (27),52,1888,R
420,399.,Lonnie Smith (29),52,1985,R
421,399.,Tris Speaker+ (24),52,1912,L
422,399.,Mike Tiernan (21),52,1888,L
423,399.,Bobby Wheelock (26),52,1891,R
424,399.,Bump Wills (25),52,1978,B
425,399.,Maury Wills (35),52,1968,B
426,427.,Luis Aparicio+ (26),51,1960,R
427,427.,Lou Brock+ (31),51,1970,L
428,427.,Don Buford (29),51,1966,B
429,427.,Brett Butler (33),51,1990,L
430,427.,Bert Campaneris (23),51,1965,R
431,427.,Max Carey+ (32),51,1922,B
432,427.,Max Carey+ (33),51,1923,B
433,427.,George Case (23),51,1939,R
434,427.,Ty Cobb+ (26),51,1913,L
435,427.,Bill Dahlen (26),51,1896,R
436,427.,Tom Daly (28),51,1894,B
437,427.,Hugh Duffy+ (25),51,1892,R
438,427.,King Kelly+ (32),51,1890,R
439,427.,Barry Larkin+ (31),51,1995,R
440,427.,Fritz Maisel (25),51,1915,R
441,427.,Jimmy McAleer (26),51,1891,R
442,427.,Dave Nelson (28),51,1972,R
443,427.,Dode Paskert (28),51,1910,R
444,427.,Freddie Patek (31),51,1976,R
445,427.,George Pinkney (29),51,1888,L
446,427.,Luis Polonia (28),51,1992,L
447,427.,Tim Raines+ (31),51,1991,B
448,427.,Hanley Ramirez (22),51,2006,R
449,427.,Hanley Ramirez (23),51,2007,R
450,427.,Yank Robinson (26),51,1886,R
451,427.,Braggo Roth (24),51,1917,R
452,427.,Billy Shindle (29),51,1890,R
453,427.,George Sisler+ (29),51,1922,L
454,427.,Fred Snodgrass (23),51,1911,R
455,427.,Shannon Stewart (24),51,1998,R
456,427.,Eric Young Sr. (32),51,1999,R
457,458.,Craig Biggio+ (32),50,1998,R
458,458.,Eric Byrnes (31),50,2007,R
459,458.,John Cangelosi (23),50,1986,B
460,458.,Ed Cartwright (35),50,1895,R
461,458.,Luis Castillo (23),50,1999,B
462,458.,Cesar Cedeno (24),50,1975,R
463,458.,Vince Coleman (32),50,1994,B
464,458.,Carl Crawford (25),50,2007,L
465,458.,Jack Crooks (25),50,1891,R
466,458.,Eric Davis (25),50,1987,R
467,458.,Rajai Davis (29),50,2010,R
468,458.,Miguel Dilone (23),50,1978,B
469,458.,Jacoby Ellsbury (24),50,2008,L
470,458.,Tom Goodwin (26),50,1995,L
471,458.,Tom Goodwin (28),50,1997,L
472,458.,Ned Hanlon+ (28),50,1886,L
473,458.,Bug Holliday (23),50,1890,R
474,458.,Ducky Holmes (30),50,1899,L
475,458.,Dummy Hoy (33),50,1895,L
476,458.,Dummy Hoy (34),50,1896,L
477,458.,Lance Johnson (32),50,1996,L
478,458.,Larry Lintz (24),50,1974,B
479,458.,Otis Nixon (31),50,1990,B
480,458.,Otis Nixon (36),50,1995,B
481,458.,Gary Pettis (28),50,1986,B
482,458.,Tim Raines+ (27),50,1987,B
483,458.,John Reilly (28),50,1887,R
484,458.,Brian Roberts (29),50,2007,B
485,458.,Jimmy Ryan (24),50,1887,R
486,458.,Lonnie Smith (28),50,1984,R
487,458.,George Van Haltren (31),50,1897,L
488,458.,Curt Welch (29),50,1891,R
489,458.,Maury Wills (27),50,1960,B
490,491.,Roberto Alomar+ (24),49,1992,B
491,491.,Steve Brodie (24),49,1893,L
492,491.,Donie Bush (22),49,1910,B
493,491.,Rod Carew+ (30),49,1976,L
494,491.,Max Carey+ (34),49,1924,B
495,491.,Bob Caruthers (23),49,1887,L
496,491.,George Case (28),49,1944,R
497,491.,Fred Clarke+ (26),49,1899,L
498,491.,Coco Crisp (31),49,2011,B
499,491.,Julio Cruz (24),49,1979,B
500,491.,Jumbo Davis (25),49,1887,L
501,491.,Gene DeMontreville (25),49,1898,R
502,491.,Tommy Dowd (23),49,1892,R
503,491.,Johnny Evers+ (24),49,1906,L
504,491.,Frankie Frisch+ (23),49,1921,B
505,491.,Brett Gardner (27),49,2011,L
506,491.,Mike Griffin (27),49,1892,L
507,491.,Sonny Jackson (21),49,1966,L
508,491.,John Kerins (28),49,1887,R
509,491.,Herman Long (24),49,1890,L
510,491.,Sherry Magee (25),49,1910,R
511,491.,Jack McGeachey (24),49,1888,R
512,491.,Fred Merkle (22),49,1911,R
513,491.,Joe Morgan+ (25),49,1969,L
514,491.,Joe Morgan+ (33),49,1977,L
515,491.,Darby O'Brien (23),49,1887,R
516,491.,Freddie Patek (26),49,1971,R
517,491.,Tim Raines+ (30),49,1990,B
518,491.,Ben Revere (26),49,2014,L
519,491.,Dave Roberts (34),49,2006,L
520,491.,Steve Sax (22),49,1982,R
521,491.,Kip Selbach (24),49,1896,R
522,491.,Mike Trout (20),49,2012,R
523,491.,Honus Wagner+ (27),49,1901,R
524,491.,Joe Werrick (25),49,1887,R
525,491.,Rollie Zeider (26),49,1910,R
