,Rank,Player (age that year),AB per HR,Year,Bats
480,480.,Vladimir Guerrero+ (24),14.52,1999,R
481,482.,Willie McCovey+ (30),14.53,1968,L
482,483.,Troy Glaus (28),14.54,2005,R
483,483.,Ryan Ludwick (29),14.54,2008,R
484,483.,Gorman Thomas (31),14.54,1982,R
485,486.,Gil Hodges (27),14.55,1951,R
486,487.,Ernie Banks+ (29),14.56,1960,R
487,487.,Max Kepler (26),14.56,2019,L
488,487.,Ron Kittle (26),14.56,1984,R
489,487.,Ryan Zimmerman (32),14.56,2017,R
490,491.,Alex Rodriguez (32),14.57,2008,R
491,491.,Giancarlo Stanton (24),14.57,2014,R
492,491.,Dick Stuart (30),14.57,1963,R
493,491.,Dave Winfield+ (30),14.57,1982,R
494,495.,Jack Cust (29),14.58,2008,L
495,495.,Edwin Encarnacion (34),14.58,2017,R
496,497.,Ryan Braun (28),14.59,2012,R
497,497.,Jeromy Burnitz (35),14.59,2004,L
498,497.,Carl Everett (29),14.59,2000,B
499,497.,Harmon Killebrew+ (30),14.59,1966,R
