,Rank,Player (age that year),Wins Above Replacement,Year,Bats/Throws
480,474.,Tim Keefe+ (27),8.4,1884,R
481,474.,Frank Killen (25),8.4,1896,L
482,474.,Nap Lajoie+ (26),8.4,1901,R
483,474.,Joe McGinnity+ (28),8.4,1899,R
484,474.,Hal Newhouser+ (23),8.4,1944,L
485,474.,Kid Nichols+ (34),8.4,1904,B
486,474.,Jim Palmer+ (29),8.4,1975,R
487,474.,Mel Parnell (27),8.4,1949,L
488,474.,Andy Pettitte (25),8.4,1997,L
489,474.,Albert Pujols (25),8.4,2005,R
490,474.,Brooks Robinson+ (31),8.4,1968,R
491,474.,Jackie Robinson+ (33),8.4,1952,R
492,474.,Alex Rodriguez (27),8.4,2003,R
493,474.,Tom Seaver+ (32),8.4,1977,R
494,474.,Jim Whitney (24),8.4,1882,L
495,474.,Jim Whitney (26),8.4,1884,L
496,474.,Jim Whitney (29),8.4,1887,L
497,474.,Early Wynn+ (36),8.4,1956,B
498,499.,Sal Bando (25),8.3,1969,R
499,499.,Jose Bautista (30),8.3,2011,R
500,499.,Wade Boggs+ (29),8.3,1987,L
501,499.,Wade Boggs+ (30),8.3,1988,L
502,499.,George Brett+ (32),8.3,1985,L
503,499.,Jim Bunning+ (33),8.3,1965,R
504,499.,Matt Chapman (25),8.3,2018,R
505,499.,Matt Chapman (26),8.3,2019,R
506,499.,Mort Cooper (29),8.3,1942,R
507,499.,Willie Davis (24),8.3,1964,L
508,499.,Joe DiMaggio+ (22),8.3,1937,R
509,499.,J.D. Drew (28),8.3,2004,L
510,499.,Don Drysdale+ (27),8.3,1964,R
511,499.,Jacoby Ellsbury (27),8.3,2011,L
512,499.,Darin Erstad (26),8.3,2000,L
513,499.,Lou Gehrig+ (34),8.3,1937,L
514,499.,Paul Goldschmidt (27),8.3,2015,R
515,499.,Bobby Grich (24),8.3,1973,R
516,499.,Roy Halladay+ (33),8.3,2010,R
517,499.,Pink Hawley (23),8.3,1896,L
518,499.,Todd Helton (30),8.3,2004,L
519,499.,Bill Hoffer (25),8.3,1896,R
520,499.,Tommy Holmes (28),8.3,1945,L
521,499.,Bill Hutchison (30),8.3,1890,R
522,499.,Bill James (22),8.3,1914,R
523,499.,Hughie Jennings+ (27),8.3,1896,R
524,499.,Al Kaline+ (20),8.3,1955,R
525,499.,Willie Mays+ (26),8.3,1957,R
526,499.,Jim McCormick (26),8.3,1883,R
527,499.,Mel Ott+ (23),8.3,1932,L
528,499.,Orval Overall (28),8.3,1909,B
529,499.,Alex Rodriguez (25),8.3,2001,R
530,499.,Pete Rose (32),8.3,1973,B
531,499.,Nap Rucker (27),8.3,1912,R
532,499.,Amos Rusie+ (26),8.3,1897,R
533,499.,Frank Tanana (23),8.3,1977,L
534,499.,John Valentin (28),8.3,1995,R
535,499.,Dontrelle Willis (23),8.3,2005,L
536,499.,Ted Williams+ (29),8.3,1948,L
537,499.,Dave Winfield+ (27),8.3,1979,R
538,499.,David Wright (24),8.3,2007,R
539,499.,Cy Young+ (32),8.3,1899,R
540,499.,Cy Young+ (36),8.3,1903,R
