,Rank,Player (age that year),Range Factor/Game as LF (s.1901),Year,Throws
466,465.,Don Lenhardt (28),2.138,1951,R
467,465.,Lefty O'Doul (32),2.138,1929,L
468,469.,George Burns (29),2.137,1919,R
469,469.,Bobby Estalella (32),2.137,1943,R
470,469.,Jim Russell (26),2.137,1945,R
471,472.,Kevin Mitchell (27),2.136,1989,R
472,472.,Lonnie Smith (30),2.136,1986,R
473,472.,Roy White (29),2.136,1973,R
474,475.,Ted Williams+ (28),2.135,1947,R
475,476.,Rob Deer (26),2.133,1987,R
476,476.,Evar Swanson (26),2.133,1929,R
477,478.,Joe Harris (32),2.132,1923,R
478,478.,Duffy Lewis (28),2.132,1916,R
479,480.,Ivan Calderon (29),2.131,1991,R
480,480.,Rufino Linares (30),2.131,1981,R
481,480.,Billy Sample (26),2.131,1981,R
482,483.,Jose Cardenal (31),2.129,1975,R
483,483.,Carl Crawford (28),2.129,2010,L
484,483.,Steve Henderson (25),2.129,1978,R
485,483.,Jim Wynn (34),2.129,1976,R
486,487.,Enos Slaughter+ (33),2.128,1949,R
487,488.,Augie Galan (35),2.127,1947,R
488,488.,Goose Goslin+ (28),2.127,1929,R
489,490.,Sid Gordon (33),2.126,1951,R
490,490.,Bo Jackson (25),2.126,1988,R
491,490.,John Stone (25),2.126,1931,R
492,493.,George Selkirk (31),2.125,1939,R
493,494.,Adam Comorosky (25),2.124,1930,R
494,494.,Darryl Motley (24),2.124,1984,R
495,496.,Ivan Calderon (28),2.123,1990,R
496,496.,Irish Meusel (31),2.123,1924,R
497,496.,Roy White (28),2.123,1972,R
498,499.,Alex Johnson (31),2.122,1974,R
499,499.,Bob Johnson (30),2.122,1936,R
