,Rank,Player (age that year),Sit. Wins Saved (WPA/LI),Year,Throws
136,137.,Kevin Brown (35),4.79,2000,R
137,137.,Dallas Keuchel (27),4.79,2015,L
138,137.,Tom Seaver+ (28),4.79,1973,R
139,140.,Juan Marichal+ (27),4.78,1965,R
140,140.,Pedro Martinez+ (31),4.78,2003,R
141,142.,Greg Maddux+ (27),4.77,1993,R
142,143.,Johan Santana (26),4.76,2005,L
143,144.,Larry Benton (30),4.75,1928,R
144,145.,Andy Pettitte (33),4.72,2005,L
145,146.,Ewell Blackwell (24),4.71,1947,R
146,146.,Wilcy Moore (30),4.71,1927,R
147,148.,Walter Johnson+ (31),4.70,1919,R
148,148.,Cliff Lee (29),4.70,2008,L
149,150.,Mike Garcia (30),4.69,1954,R
150,150.,Jimmy Key (26),4.69,1987,L
151,152.,Justin Verlander (29),4.68,2012,R
152,153.,Joe Horlen (29),4.67,1967,R
153,153.,Esteban Loaiza (31),4.67,2003,R
154,155.,Steve Carlton+ (35),4.66,1980,L
155,155.,Catfish Hunter+ (28),4.66,1974,R
156,155.,Red Ruffing+ (32),4.66,1937,R
157,158.,Spud Chandler (35),4.64,1943,R
158,158.,Billy Pierce (26),4.64,1953,L
159,160.,Chris Carpenter (34),4.63,2009,R
160,160.,Roger Clemens (29),4.63,1992,R
161,162.,Don Sutton+ (28),4.62,1973,R
