,Rank,Player (age that year),Fielding Independent Pitching,Year,Throws
467,466.,Dummy Taylor (32),2.461,1907,R
468,466.,Will White (25),2.461,1880,R
469,470.,Red Ames (35),2.463,1918,R
470,470.,Pretzels Getzien (24),2.463,1888,R
471,472.,Ed Karger (23),2.464,1906,L
472,473.,Red Ames (28),2.465,1911,R
473,473.,Don Drysdale+ (27),2.465,1964,R
474,473.,Dutch Leonard (36),2.465,1945,R
475,473.,Jeff Pfeffer (28),2.465,1916,R
476,477.,Jim Bunning+ (33),2.466,1965,R
477,478.,Steve Carlton+ (22),2.467,1967,L
478,478.,Tom Seaver+ (31),2.467,1976,R
479,480.,George Chalmers (27),2.468,1915,R
480,480.,Jack Chesbro+ (31),2.468,1905,R
481,480.,Harry Howell (30),2.468,1907,R
482,480.,Clayton Kershaw (23),2.468,2011,L
483,484.,Nolan Ryan+ (40),2.469,1987,R
484,485.,Bobby Bolin (29),2.470,1968,R
485,485.,Patrick Corbin (28),2.470,2018,L
486,485.,Nap Rucker (25),2.470,1910,L
487,488.,Chief Bender+ (28),2.471,1912,R
488,488.,Chief Bender+ (30),2.471,1914,R
489,488.,Adonis Terry (23),2.471,1888,R
490,488.,Doc White (26),2.471,1905,L
491,492.,Larry Dierker (22),2.473,1969,R
492,492.,Mark Prior (22),2.473,2003,R
493,494.,Slow Joe Doyle (25),2.474,1907,R
494,494.,Bobby Mathews (27),2.474,1879,R
495,496.,Bill Wise (23),2.475,1884,
496,497.,Ray Collins (26),2.476,1913,L
497,497.,Hooks Wiltse (30),2.476,1910,L
498,499.,Joe McGinnity+ (35),2.477,1906,R
499,500.,Rube Benton (26),2.479,1916,L
500,500.,Harry Gaspar (26),2.479,1909,R
